"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          68,       -4.49106303,       -4.93150861,      -4.922237778,      -4.152640785,      -10.71805844,     0.07965813674,      0.2294135823,                 0,                 0,                 0,     0.09556737236,     0.07160319259,      0.2320538587,                 0,       2.879976758,     0.01113249368
          0,           0,          69,      -4.490893244,       -4.93990983,      -4.923711357,      -4.153303706,      -10.71280526,     0.07849427013,      0.2313790394,                 0,                 0,                 0,     0.09656992105,     0.07037144152,      0.2339775001,                 0,       2.947718846,     0.01113249368
          0,           0,          70,      -4.490366954,      -4.940805042,      -4.925674285,      -4.153502682,      -10.70468108,     0.07712162986,      0.2335127851,                 0,                 0,                 0,     0.09764118009,     0.06892517078,      0.2360620414,                 0,       3.027850753,     0.01113249368
          0,           0,          71,      -4.491342387,      -4.948677109,      -4.929075314,      -4.155064183,      -10.69868513,     0.07583719907,      0.2354192272,                 0,                 0,                 0,     0.09859472443,     0.06757498855,      0.2379224962,                 0,       3.104271124,     0.01113249368
          0,           0,          72,      -4.491999773,      -4.951585478,      -4.932363263,      -4.156472535,      -10.69304844,     0.07439203598,      0.2374610375,                 0,                 0,                 0,     0.09960049649,     0.06605944767,      0.2399126273,                 0,       3.192022296,     0.01113249368
          0,           0,          73,       -4.49406749,      -4.961244046,      -4.937239173,      -4.158992372,      -10.68848534,     0.07294312524,      0.2394882934,                 0,                 0,                 0,      0.1006103604,     0.06454066936,      0.2418880819,                 0,        3.28321953,     0.01113249368
          0,           0,          74,       -4.49640739,       -4.96369658,      -4.942795895,      -4.162009414,      -10.68280637,     0.07152363862,      0.2415658926,                 0,                 0,                 0,      0.1016920057,     0.06304954028,      0.2439148762,                 0,       3.377427341,     0.01113249368
          0,           0,          75,       -4.49989782,      -4.976309539,      -4.949915564,      -4.165837856,      -10.67707155,     0.07015076185,      0.2436655688,                 0,                 0,                 0,      0.1028212841,     0.06160422218,      0.2459653606,                 0,       3.473455775,     0.01113249368
          0,           0,          76,      -4.503637382,      -4.977097262,      -4.957089621,      -4.170233522,      -10.67224637,     0.06885328946,      0.2457986792,                 0,                 0,                 0,      0.1040090383,      0.0602330957,      0.2480518904,                 0,       3.569890141,     0.01113249368
          0,           0,          77,      -4.507888383,      -4.988649471,      -4.965514605,      -4.174735291,      -10.66832562,     0.06764532763,      0.2479359859,                 0,                 0,                 0,      0.1052333565,     0.05895127881,      0.2501457379,                 0,        3.66523446,     0.01113249368
          0,           0,          78,      -4.511966086,      -4.985964248,      -4.973108825,      -4.179269894,      -10.66425938,     0.06654024733,      0.2500683742,                 0,                 0,                 0,       0.106484887,     0.05777245241,      0.2522382604,                 0,       3.758152159,     0.01113249368
          0,           0,          79,      -4.516575014,      -4.998659892,      -4.980904346,       -4.18416953,      -10.65949126,     0.06553466987,      0.2521636155,                 0,                 0,                 0,      0.1077328964,     0.05669436465,      0.2542971312,                 0,       3.847789514,     0.01113249368
          0,           0,          80,      -4.520658169,      -4.994959741,      -4.987447787,       -4.18860492,      -10.65547854,     0.06470900557,      0.2540263003,                 0,                 0,                 0,      0.1088569406,     0.05580419656,      0.2561298661,                 0,       3.925671521,     0.01113249368
          0,           0,          81,      -4.524774709,      -5.011110117,       -4.99360687,      -4.193279883,       -10.6504448,     0.06390150669,      0.2560746347,                 0,                 0,                 0,      0.1101106842,     0.05492570375,      0.2581487714,                 0,       4.007333285,     0.01140718075
          0,           0,          82,      -4.528879031,      -5.007174605,      -4.999238358,      -4.197623918,       -10.6469929,     0.06326133419,      0.2579727477,                 0,                 0,                 0,      0.1112981928,     0.05421967804,      0.2600233864,                 0,       4.077889773,     0.01140718075
          0,           0,          83,      -4.532824484,      -5.019755943,      -5.004723863,      -4.202157631,      -10.64194447,      0.0626416823,      0.2600235611,                 0,                 0,                 0,      0.1125835033,     0.05352883127,       0.262051325,                 0,       4.150967081,     0.01140718075
          0,           0,          84,      -4.537104197,       -5.01329789,      -5.010183351,       -4.20650256,      -10.63717395,     0.06213961193,      0.2617901401,                 0,                 0,                 0,      0.1136799947,     0.05296541403,      0.2637993058,                 0,       4.212934905,     0.01140718075
          0,           0,          85,      -4.540921833,      -5.024925159,      -5.015215721,      -4.210926457,      -10.63114744,     0.06163959377,       0.263606694,                 0,                 0,                 0,        0.11478381,     0.05240230365,      0.2655973027,                 0,        4.27658065,     0.01140718075
          0,           0,          86,      -4.545501882,      -5.020504379,      -5.020032116,      -4.215595927,      -10.62572949,     0.06122619434,      0.2651742692,                 0,                 0,                 0,      0.1157233911,     0.05193444846,      0.2671494956,                 0,        4.33105915,     0.01140718075
          0,           0,          87,      -4.549558389,      -5.032606634,      -5.024097071,      -4.220207299,      -10.61947745,     0.06081055598,      0.2668568353,                 0,                 0,                 0,      0.1167229831,     0.05146034259,      0.2688165311,                 0,       4.388330792,     0.01140718075
          0,           0,          88,      -4.554834473,      -5.032169153,      -5.028486301,      -4.225547371,      -10.61344207,     0.06042999204,      0.2685530688,                 0,                 0,                 0,      0.1177310358,     0.05102081279,      0.2704984499,                 0,       4.444036144,     0.01140718075
          0,           0,          89,      -4.560375832,       -5.04067299,      -5.033558032,      -4.231485723,      -10.60681303,     0.06007335691,      0.2702462427,                 0,                 0,                 0,      0.1187346875,     0.05060530399,      0.2721781459,                 0,       4.498603983,     0.01140718075
          0,           0,          90,      -4.565132456,      -5.039370296,       -5.03882789,      -4.236430048,      -10.60048466,     0.05976331803,      0.2717647438,                 0,                 0,                 0,      0.1196315971,     0.05024245905,      0.2736849018,                 0,       4.547350327,     0.01140718075
          0,           0,          91,      -4.569389151,      -5.047154952,      -5.043668107,      -4.241129061,      -10.59337112,     0.05941487535,      0.2733746915,                 0,                 0,                 0,      0.1205671487,     0.04983804227,      0.2752817082,                 0,       4.601115291,     0.01140718075
          0,           0,          92,      -4.573306324,      -5.042711954,      -5.048391288,      -4.245046717,      -10.58663368,      0.0590896478,      0.2747629116,                 0,                 0,                 0,      0.1213577768,     0.04946456465,      0.2766577324,                 0,       4.649933141,     0.01140718075
          0,           0,          93,      -4.577423601,      -5.048466421,      -5.052846558,      -4.249938738,      -10.57887699,     0.05871787005,      0.2762402498,                 0,                 0,                 0,      0.1221918501,     0.04904145503,      0.2781211958,                 0,       4.704534574,     0.01140718075
          0,           0,          94,      -4.582401007,      -5.037656772,      -5.057490549,      -4.255508001,       -10.5713368,     0.05837477828,      0.2775430058,                 0,                 0,                 0,      0.1229267948,     0.04865310672,      0.2794111845,                 0,       4.754502099,     0.01140718075
          0,           0,          95,      -4.591116169,      -5.052770056,      -5.062306297,      -4.264892999,       -10.5623351,      0.0579848676,      0.2789457511,                 0,                 0,                 0,      0.1237213266,     0.04821447847,      0.2807994676,                 0,        4.81066462,     0.01140718075
          0,           0,          96,      -4.599609142,      -5.051700859,      -5.068048416,      -4.273697761,       -10.5523276,      0.0575843403,      0.2803375079,                 0,                 0,                 0,       0.124516326,     0.04776562354,      0.2821763983,                 0,       4.868294165,     0.01140718075
          0,           0,          97,      -4.606351222,       -5.04927868,      -5.074268557,      -4.280499009,      -10.54145853,      0.0571728617,      0.2817371143,                 0,                 0,                 0,      0.1253275777,     0.04730555005,      0.2835607918,                 0,       4.927812006,     0.01140718075
          0,           0,          98,      -4.614123799,      -5.039018258,      -5.080939821,      -4.288014503,      -10.52979071,     0.05675000392,      0.2831331928,                 0,                 0,                 0,      0.1261462075,     0.04683422742,      0.2849412623,                 0,       4.989130806,     0.01140718075
          0,           0,          99,      -4.623350757,      -5.035466914,      -5.088108732,      -4.296961003,      -10.51731763,     0.05631824602,      0.2845350664,                 0,                 0,                 0,      0.1269807595,     0.04635380785,      0.2863272138,                 0,       5.052271449,     0.01140718075
          0,           0,         100,       -4.63238639,      -5.016420852,      -5.095613704,      -4.304828348,      -10.50403431,     0.05588647135,      0.2859595028,                 0,                 0,                 0,      0.1278429828,      0.0458725841,      0.2877357137,                 0,       5.116792954,     0.01140718075
          0,           0,         101,      -4.640848503,      -4.990339618,      -5.103152805,      -4.311196201,      -10.48974049,      0.0554560129,      0.2874067163,                 0,                 0,                 0,      0.1287306146,     0.04539188085,      0.2891670228,                 0,       5.182606921,     0.01140718075
          0,           0,         102,      -4.649444301,      -4.970179289,      -5.110926243,      -4.317725503,      -10.47440677,     0.05502977471,      0.2888599747,                 0,                 0,                 0,      0.1296277942,     0.04491518432,      0.2906045204,                 0,       5.249157864,     0.01140718075
          0,           0,         103,      -4.661520161,      -4.967970152,      -5.118181381,      -4.329690363,      -10.45876669,     0.05465183613,      0.2901587898,                 0,                 0,                 0,      0.1304314349,     0.04449214798,      0.2918893545,                 0,       5.309223081,     0.01140718075
          0,           0,         104,      -4.667811052,      -4.913220479,      -5.126305409,      -4.331958154,      -10.44256692,     0.05425413531,      0.2916390148,                 0,                 0,                 0,      0.1313617057,     0.04404303032,      0.2933547982,                 0,       5.375424622,     0.01140718075
          0,           0,         105,      -4.665271372,      -4.816177419,      -5.136254898,      -4.320088694,      -10.42565172,      0.0539145025,      0.2930441229,                 0,                 0,                 0,      0.1322601481,     0.04365456684,      0.2947471973,                 0,       5.435348733,     0.01140718075
